#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
,World,"177,086,088","+64,266","3,829,038","+1,437","161,294,735","+84,758","11,962,315","84,444","22,718",491.2,,,,All,,,,,,,
154,Aruba,"11,081",,107 ,,"10,956",,18,14,"103,369",998,"171,329","1,598,248","107,198 ",North America,"101,0021",,,168
155,Vietnam,"10,999",+189,59 ,,"4,236",,"6,704",,112,0.6,"6,282,417","63,994","98,171,301 ",Asia,"8,9251,663,92016",2,,68
156,Lesotho,"10,923",,326 ,,"6,443",,"4,154",,"5,061",151,"102,252","47,374","2,158,400 ",Africa,"1986,62121",,,"1,925"
157,South Sudan,"10,688",,115 ,,"10,514",,59,,944,10,"164,472","14,531","11,318,411 ",Africa,"1,05998,42169",,,5
158,Equatorial Guinea,"8,662",,120 ,,"8,413",,129,1,"5,988",83,"149,330","103,236","1,446,497 ",Africa,"16712,05410",,,89
159,Timor-Leste,"8,341",,19 ,,"6,833",,"1,489",,"6,214",14,"92,122","68,632","1,342,252 ",Asia,"16170,64515",,,"1,109"
160,Benin,"8,109",,102 ,,"7,979",,28,5,653,8,"604,310","48,642","12,423,583 ",Africa,"1,532121,80021",,,2
161,Nicaragua,"7,662",,188 ,,"4,225",,"3,249",,"1,144",28,,,"6,699,432 ",North America,"87435,635",,,485
162,CAR,"7,101",,98 ,,"6,859",,144,2,"1,446",20,"54,814","11,165","4,909,418 ",Africa,"69150,09690",,,29
163,Yemen,"6,863",,"1,350 ",,"3,765",,"1,748",23,225,44,"83,351","2,737","30,448,167 ",Asia,"4,43722,554365",,,57
164,Iceland,"6,621",,30 ,,"6,558",,33,1,"19,284",87,"713,401","2,077,766","343,350 ",Europe,"5211,4450",,,96
165,Gambia,"6,016",,180 ,,"5,822",,14,3,"2,425",73,"81,795","32,970","2,480,855 ",Africa,"41213,78330",,,6
166,Niger,"5,452",,192 ,,"5,172",,88,2,218,8,"112,465","4,493","25,032,956 ",Africa,"4,592130,380223",,,4
167,Saint Lucia,"5,180",,80  ,,"5,006",,94,1,"28,087",434,"50,851","275,726","184,426 ",North America,"362,3054",,,510
